strain	age	age_sd	isotype
AB1	66.7436856823986	0.402260418904395	AB1
BRC20067	66.4396279868704	1.35936279491829	BRC20067
BRC20263	68.3620572876293	2.52453090484824	BRC20263
CB4852	63.3009679039989	0.169884960350684	CB4852
CB4856	70.7618244759915	1.1952198134478	CB4856
CX11254	62.4051420053459	2.43288339056423	CX11254
CX11262	64.5368153116295	0.674709264876036	CX11262
CX11264	63.3336622798621	0.480640685639903	CX11264
CX11271	64.732981566809	0.970973424941624	CX11271
CX11276	68.0220357786515	1.58607827460307	CX11276
CX11285	64.9879976985423	0.693552446386876	CX11285
CX11292	64.6152818137013	0.74517361148562	CX11292
CX11307	64.1837160523065	0.386402710554696	CX11307
CX11314	69.6567545718138	1.86130663953916	CX11314
CX11315	66.0407566013388	0.152371225854008	CX11315
DL200	67.8422167114037	1.65065482240078	DL200
DL226	66.1551869168602	0.43000251675986	DL226
DL238	69.1401834331745	0.777356485470101	DL238
ECA189	65.7236211554654	0.624197201748191	ECA189
ECA248	65.6157297151166	0.577608865192327	CB4855
ECA250	64.1837160523065	0.874426347650571	CB4857
ECA251	66.8417688099884	1.92807580095553	CB4858
ECA259	67.2177541324157	1.98703280217624	PB306
ECA348	65.5274549002859	0.0693552446386846	ECA348
ECA349	63.0394128970929	0.776365801356288	ECA349
ECA363	63.0132573964023	0.964478546530186	ECA363
ECA372	66.616177616532	0.900443711217355	ECA372
ECA592	70.7225912249556	1.13866583666421	ECA592
ECA594	70.3629530904599	0.713516833472878	ECA594
ECA703	65.236474955103	2.40320342819953	ECA703
ECA705	67.1327487551712	0.938801226636733	ECA705
ECA710	65.3607135833833	0.135907968280551	ECA710
ECA738	68.469948727978	0.23580783177154	ECA738
ECA743	68.9832504290309	1.34903825116773	ECA743
ECA745	68.0187663410652	0.984844473869367	ECA745
ECA777	66.6423331172225	0.43878727080587	ECA777
ECA812	63.876388919192	0.972227614598929	ECA812
ECA923	67.4139203875951	2.26623678788772	ECA923
ED3005	64.9095311964705	0.835262922700229	ED3005
ED3012	62.2612867515477	0.458794248221492	ED3012
ED3017	68.2508964096942	2.01491807177628	ED3017
